input.sentences,output.sentences,persona.age
we were with some other tourists who had the same idea .,I took pictures of my wife like a tourist.,18-24
the first act was a gothic vocalist woman .,"Next, a gothic lady came on stage and began to sing an song.",25-34
here was one of my favorite pictures in the church .,I should probably pay attention to the mass instead of looking at all these windows.,35-44
at night we all had out own tents to sleep in .,"After a fun-filled day, they all went to sleep under the stars in their cozy tents.",25-34
abandoned or empty buildings and lots can have things of interest hidden .,I've always thought the lots behind my house were empty but I was surprised to find some unique hidden treasures.,35-44
at one point | the fireworks covered the entire viewing area .,We were viewing fireworks the entire night.,35-44
and some old cars !,We saw the 20 millionth car produced at the factory.,55-74
[male] loved being a teacher .,A puddle prevents someone from crossing.,25-34
his girlfriend got annoyed with the silliness | and they got into a fight that ended the party .,While she returns with a frown he slams a full house play on the table and she is shocked.,18-24
we took a break to warm up and have a quick dinner .,IT IS A FOOD,25-34
it 's sunny out | i think i should get a hat .,Vendors were on hand to sell different items,55-74
she was shocked when she saw what her husband had did .,She shocked her husband by cleaning his desk.,55-74
lunch in the park .,"After this, we ate lunch at a nearby park.",45-54
at the end of the day i was just glad to be with my family .,"I love my friends, but I was so glad to have my family with me as well, for the big day.",45-54
the third course was pretty yummy .,"I couldn't wait for dessert, which I heard was a specialty at this restaurant.",45-54
[female] did the best impression of mr. smythe from math .,They should have stuck with a math game because it's hard to do an impression of smythe if you don't know what it means.,35-44
the whole group was here .,These are my friends.,35-44
final amount of eggs that were collected . good job .,The final job was done when the eggs were all found.,25-34
my friend spoke to african missionaries about their work .,IT IS A MEETING HALL,25-34
i left the scene shortly after taking pictures .,"The police still need to investigate, so the car will need to stay in place until they are done.",25-34
and | i quickly ran home to get my dad to help with the situation !,"To clear our minds, we went for a jog and discussed what to do next.",18-24
robinson ended up finishing first that day .,"Finishing first that day was Robinson, as might have been anticipated.",45-54
the sailors lined up to greet the veterans .,The whole airport was full of anticipation.,25-34
[male] graduates . he smiles at the principal,Capturing every moment to final walk when their graduates receive their dimplomas.,35-44
everyone gathered for grandma 's birthday .,It was her grandmother's birthday.,35-44
i could n't miss out on the fun .,The kids to not miss school and are having fun outside.,18-24
today i stumbled upon this when i walked through my woods .,As we walked through the wood we come across an a historical area.,18-24
once we got home i made us even more food .,When I got home I was still hungry so I ended up making more food.,35-44
one of the coolest pieces i 've seen that day and i 'm still a bit confused of what it was .,These pieces were the coolest of the day.,18-24
mr. [male] jones pretended to listen but he was just thinking how refreshed he was after staying at a holiday inn last night .,Even the questions capture the audiences attention.,25-34
family members and lovers of these competitions line the final stages of such events to cheer us on as we try to pull out a win in the end or for some just finish the race and i love the running part .,They win prizes for the stages of running.,25-34
the show we saw when we were on vacation was great .,"Valee and her mom were on another Disney vacation, they loved to see the ice shows especially.",35-44
many paid tribute to the person,I heard the flowers will be donated to charity by the soldier's family.,25-34
so were my other two friends .,"And, here I am with Gary.",45-54
it really felt like the 50 's here,And had lunch at a local coffee shop.,35-44
this place is amazing,Later the little girl enjoys food at a restaurant.,35-44
as he kept going he was surprised to see some berries still going at this time of year .,The red berries give life to the birds through nourishment in a place where death is.,55-74
the little red tricycle was always so fun to ride .,I would ride my bike outside some days.,18-24
when i finally got back to work there were still people there .,He walked for a long time until they called him from work.,35-44
the group took a trip to location . they saw a lot of local architecture .,"A lot of a trip is planning and picking the best and most interesting location, like China.",45-54
she ate her favorite breakfast .,We ate breakfast at her favorite restaurant.,35-44
they all smiled and posed for the photo during their last time as a group .,a group of teachers and students stand together to take a picture.,25-34
the line to get into the concert is very long .,And was very happy to be in the field.,25-34
a modern art exhibit was the highlight as you can see by this giant car made of paper .,His mom was so proud of him.,25-34
this drawing is of an old farm house on the rural side of town done by a freshman at the school .,There was another drawing of a rural school in town.,18-24
cooking starts with a recipe .,"I wanted to start cooking, so I found a good recipe.",25-34
when we got to the airport we had to wait .,IT IS A BUILDING,25-34
i had a really awesome time at the convention .,THE PICTURE IS BEAUTIFUL,25-34
the buildings there were very old and worn down . it looks like there has n't been activity here for years !,The stairs lead up to the light.,18-24
the ocean was nearby .,The dog was ready to go.,25-34
this group of people plant new trees as a hobby .,The people gather together to plant trees.,25-34
to the side of the kitchen is one of the five bathrooms in the house .,IT HAS A BATHROOM,25-34
there was also some great art on the sides of the road .,A wall is decorated with interesting pictures.,18-24
the matches were fair and the best school won .,"Yet, everyone had fun and tired to play fair.",25-34
there are three people standing on the beach .,"The news team was standing by at the beach, watching the people ready themselves for a race.",55-74
they had lunch .,His mom was so proud of him.,35-44
there were so many fun events .,I'm going to try this obtacle course later.,35-44
lights were strung crossing the street between the buildings .,"It was still fun to look at the turquoise, blue and pink lights.",45-54
the college reunion happened at ten o'clock in the morning .,The silly games reunion was that morning at ten.,55-74
before enjoying the view .,IT IS A BOAD RIDE,25-34
another represents the moon and all the dark secrets it has in store .,I think the sun stores secrets and it represents mystery.,25-34
the groomsmen were with me though .,The groomsmen are enjoying the reception as they plan what to say for their toast.,55-74
i told them i did n't want to and then they called the police .,She thought my card was stolen so she called the police and told them.,25-34
we jumped in the water and watched the sun go down .,"As the day ended, they enjoyed playing in the waves and watching the sun go down.",55-74
a lot of singing occurred and it was not that bad .,He had a great time on the hike.,25-34
it fell everywhere and covered everything,IT IS A SNOW,12-17
the holiday season was here .,The store had a lot of wrapping paper for the holiday and season.,18-24
we had help from their staff .,Everyone has taken the knee to pay that all goes well,25-34
an awesome look across the the midnight blue sky against the water .,"Watching the sun sink into the Pacific, I feel at peace with the world.",45-54
after that | they got to see the flamingos .,My favorite were the flamingos.,25-34
i went to the fair today .,I went to the fair today.,25-34
they emphasized the rate of homelessness in the country .,The rate of homelessness if up a lot.,25-34
i took my boyfriend to a firework show .,The fireworks began at 430,25-34
notable structures | like a traditional red phone booth | were present .,This wall is just cool looking!,45-54
dad was happy to eat some food,Father was happy with their food choices.,25-34
it had many large headstones too .,There are headstones to mark the deceased as well,45-54
on opening night | we all partied like crazy .,Their project was a success.,18-24
location location was such a peaceful place the morning of july 4 .,We went to a location where we could enjoy the peaceful morning.,18-24
she acted silly by putting fresh flowers in her hair .,They had fun being silly and cute,35-44
mom and daughter were very happy .,She took pictures with her mother.,25-34
then there was a girl with a giant wrench and megaphone .,"Maxine was still an avid horder and managed to score a large wrench, stuffed animal and a megaphone on her way to the meeting, she's so good at what she does.",35-44
the plant was very wide and provided ample shade .,The wide leaves provide shade to inhabitants.,18-24
we were trying to get through the checkpoint but it was taking a long time .,A checkpoint was set up in the middle of the desert.,25-34
they had been very well kept .,The yellow one was ok.,25-34
checking out possible lodging for a family reunion,We were excited to see our lodging for our family reunion.,18-24
we discovered a birds nest while were hiking up the trail .,On our hiking trail we spotted a nest.,18-24
she was excited for the big day ahead .,We were excited for the day that we were about to have.,45-54
washing up the rest of the dishes in the kitchen | will be nice and clean .,"Aferwards, we washed the dishes and cleaned up",18-24
not to mention huge mountains .,It was serene and absolutely breathtaking.,18-24
by evening the event had taken on a life of its own .,This was a life event that I will never forget.,18-24
i ca n't wait to go back .,"Even though London is so beautiful, we can't wait to make our way back to CA.",25-34
it was a family fun day for all the families .,Jumping junction is little Scotty's favorite place to go.,18-24
we saw thousands of creatures and myths played out on the streets .,The crowd was milling around.,35-44
and some were downright whimsical !,But all is not lost--some of the costumes were really quite whimsical.,55-74
the kitchen is spacious and has alot of counter space too,Plenty of spacious cupboards were added to the kitchen space.,45-54
afterward fenway | they went to check out the location .,"While in the city, they took advantage of the many parks and opportunities to walk.",55-74
[male] met us at the depot with a camel ; our adventure was on !,IT IS A CAMEL,25-34
it is our right to protest,They agreed that the protest was a success.,35-44
this was a little too dark . i need to practice my photography .,The photographer practices his talents while people make loud gestures with their faces.,45-54
my brother | [male] | working on his project on the computer .,Just a chilly day doing my homework in my room.,18-24
friends and family as well as fans are seated in the bleachers cheering their team on .,"Despite losing the game the fans still cheered, it was a good game after all",25-34
maybe the town doctor lived in this house .,IT IS A HIGHEST HOUSE,25-34
we did n't realize how big it was until we got close .,"I realize I would normally close the door, but the damp and snow gave me pause, so I placed a shovel in the doorway, to ensure I was able to get back in.",45-54
we were so happy to be together again .,A family is reunited after the dad returns home from being deployed.,18-24
look it is a costume parade | there is spider man and jack sparrow .,IT IS A SPIDER MAAN,25-34
little [female] looked everywhere for eggs .,Kayla is dressed up and ready to hunt eggs!,55-74
when we got to the restraunt sam and mike where already there .,This is Sam kissing Mike at the restaurant.,45-54
nice decorations for the guests to enjoy .,It's Halloween and my lovely girlfriend made a huge effort to make sure our guests enjoyed our party.,25-34
bikes are becoming more popular in location .,Today I went to a popular bike location.,18-24
the crowd is here and their having fun .,The crowd was having fun,25-34
then we hung out next to the park .,The group hung around the park most of the day.,55-74
they took many pictures together .,THE TAKE GROUP PHOTO,25-34
then they went to the beach .,And conveniently located near one of the most desolate and beautiful beaches in the world.,45-54
there was a lot of dancing as well .,There was also a lot of dancing at the festival.,55-74
[male] brought his brother along to hear me play .,He's also a beautiful singer and is by far my favorite male singing voice so I don't mind going to hear him play.,35-44
there were tons of people there . i could barely move around .,"Must be, 'cause they're all looking in the same direction.",55-74
dr. [male] gave a seminar in cell biology .,He introduces himself to the audience.,35-44
we got to see an up close inspection of a figurine .,This one looked like dwarfs.,45-54
the star wars characters eventually showed up .,"Eventually, we finally got to see his favorite Star Wars character, Chewbacca.",25-34
there was a race in the city .,It is relay race day in the city.,25-34
shopkeepers had lots of displays up and available for sale .,There are many shops selling a variety of banners,35-44
the team sang the star spangled banner right before the game started .,I pray I never forget to salute the flag.,45-54
on you mark | get set go !,THE BIG WHITE TOY IN THE ROAD,25-34
some people dressed up and just walked the race for charity .,"As always, there were some walkers that chose to wear costumes to create a point, or just to have fun.",45-54
this man has been practicing for months for this moment .,The dog was ready to go.,25-34
the choice for dinner tonight is fresh fish .,We caught fish to eat.,18-24
it was a great experience,My experience was great.,18-24
play near the lake .,His mom was so proud of him.,25-34
[female] and agatha were making an inventory list of books .,THE MAN SING THE NOTE,25-34
[female] and the dog fell asleep mid party .,The female dog interrupted the guest mid-party.,35-44
[male] was a tech wiz | he build his own computer .,Trying to fix the cables.,18-24
at dark we enjoyed beautiful fire works .,It was all worth it for the couple to see the fireworks.,18-24
my little brother even tried the rock climbing challenge !,That climbing wall looks hard.,35-44
this is a picture of footprints .,Nany was buried under 5 feet of snow.,45-54
we took a small trip to the rural lands today .,i am going on a trip to visit unique buildings.,55-74
i had a great time there .,"Number 3, set me free.",55-74
there were many unique sea life there .,He loved to look at all the fish.,18-24
people tried -- -the painted areas along the streets were colorful | but the smog always hung in the air .,The area seemed smoggier and the streets seemed more crowded with buildings and people than I remembered.,45-54
the crane is yellow also ! this city has the color yellow everywhere ! !,Then I stared up at a yellow crane set off by the deep blue color of the sky.,55-74
the priest was thanked by everyone for his final farewell .,The ceremony ends with the priest being thanked for his service.,35-44
i had a lot of fun at the party last week . i brought my chainsaw .,A lot of people planned on going to the costume party at the end of the week.,45-54
the sailors were all dressed in the best uniforms .,I saw the sailors dressed in uniform.,25-34
my 2nd cousin john had his wife there as well .,Finally we get to meet cousin John's wife!,35-44
or worse | the berries .,The berries and leaves showed how much detail the glass could hold.,35-44
i cooked some ribs and burgers on the grill .,He took a picture of Mrs. Davis.,35-44
the pink float was colorful and fund .,This float is extremely well made.,45-54
going to camp can be fun,Summer camp is my favorite time of year.,25-34
this encounter was exciting and scary at the same time ! we encountered a snake while we made our way down the trail .,We knew it was time to leave when we saw a snake on our trail.,18-24
in the center of the park | a group of re-enactors passed by | dressed in historical attire .,We sat and watched the people for the fair walk around.,35-44
[male] and [male] were there | too !,One of my male coworkers was there looking weird as usual.,25-34
improv night at [male] 's theater .,"Say what, you handsome hunk of man you?",55-74
the seller had some lovely pillows and stuffed animals .,Some sells stuffed animals as the sellers just sells pillows.,18-24
i got to have a conversation with some of them .,we were sad to leave,25-34
the entree will compliment the soup well .,the soup and entree got a compliment,25-34
family and friends were invited to have food beforehand .,They invited their friends and family to a reception with food.,25-34
we met a lot of new people .,"We met a lot of people, including Frederick Wright who was recognized during the award ceremony for a Scientific achievement.",35-44
even the roofing tiles are so pretty .,The dog was ready to go.,25-34
my friend is all ready to get married !,The beatiful bride to be arrived at the venue first.,35-44
they had hundreds of options of different characters .,There was a massive variety of characters and memorabilia from which to choose,55-74
they make such a cute couple .,We are entering our happily ever after!,45-54
a group of friends got together for a bbq .,"The lady in the ever present white hat, smiled as she joined her friends for a a barbecue.",55-74
another piece is yellow too ! wow !,"While this isn't a picture that will make you say WOW, it certainly is a piece with a yellow object.",35-44
the bride and groom taking a picture before the ceremony starts,The grooms mother starts taking the first picture.,25-34
everyone was so excited to get the night started .,The night started out great and everyone was excited.,25-34
murals were on the walls .,And a wall mural.,35-44
it was n't just any marathon though .,Many people make this a fun filled day,35-44
washing and drying the t-shirt for the race .,The Catoctin 50K Run is an annual event that is very important to its region.,55-74
the young lady is now thirteen years old now .,Our little lady was beautiful in her black and white dress.,55-74
i watched my cousin mohammed participate in his first triathlon .,I watched the triathlon athletes.,35-44
it worked .,"Other media outlets were also there, interviewing protestors.",35-44
the kids are tired after their large meal .,"Finally, tired people end the meal and spend time with their kids.",45-54
there was a school assembly today | with prizes being handed out .,ME AND MY MOTHER TURNED UP,35-44
a beautiful light arrangement made me stop at look at it for a while .,THE PICTURE IS BEAUTIFUL,25-34
some people were taking pictures of the concert .,Everyone at the concert had a costume that was fun to see.,18-24
took a trip into the city .,We decided to go to a trip to see the city.,25-34
the girls all gathered for a group picture .,Before it was all over I gathered the girls around for a group picture.,35-44
the murky lighting gave the place a cool atmosphere .,A nightclub was ready for a holiday.,25-34
eating that cake was so delicious .,"When they cut the cake, they decided not to smash a piece on each other's faces.",35-44
when the man bent over to hand the women a sandwich she almost fainted,Who cares about meat when there's a cute chick?,55-74
the signs looked beautiful at night .,The signs at night looked very vintage.,18-24
here [female] promises to read the bill after it is passed .,It was a bit of a relief to hear their promises being read if their votes are passed.,18-24
there was a blizzard and it was rough outside .,IT IS A SNOW,25-34
oink | oink . very friendly .,Next the little piglets!,18-24
we took a few more pictures like this one before going home .,There are lots of things to be thankful for.,18-24
the friends had a special dance teacher .,We started of getting the run down of things from staff.,18-24
things got funnier as the night wore on .,Everyone stared laughing so hard that they almost dropped their blue solo cups.,45-54
my mom and dad were together as well .,My friends family paid lots of attention to her during the day.,25-34
and it makes some other people very happy as well .,She made him mad.,18-24
the family hired a singing group to help their son celebrate his bar mitzvah .,The son was singing at his bat mitzvah.,18-24
i had a great time there .,It was almost time for this event to be over.,18-24
when we were n't learning the fundamentals such as risotto . . .,It is super fresh.,25-34
at the park he revels in the beauty of a fountain .,Energetically It circled the park's largest fountain.,55-74
the moon art work was a brilliant blue .,We saw a beautiful stained glass earth.,45-54
i have plenty of fuel for the generators . we will stay warm through the cold .,I cannot wait until summer when the snow will be gone.,25-34
we were able to get a great picture of the power station from far away .,On the other side you can see the power station building,45-54
christmas celebrations were in full gear .,The Christmas festival had finally come to the small town.,25-34
the glistening sun stood out from in between the clouds .,The sun stood glistening.,18-24
some of her friends just hanging out !,I don't know why we had to jump a fence.,18-24
we were able to get some awesome footage of the night .,"Dad always said he had a good tim, and I'm sure he did",25-34
the clocks still work after all these years .,"My husband has a thing for clocks, and we always try to include several in our touring trips.",45-54
organization looking slyly at the camera .,"This young man is excited, proud, and looking forward to the future.",35-44
[male] was the first man out of the gate to test the trails,Some of the campers decided that a daytime mountain bike would be fun.,35-44
there were ice sculptures to look at on the side of the road .,They looked at cool ice sculptures in the road.,25-34
we cruised past the location harbor bridge .,And that old girder bridge is really cool.,55-74
my wife decided to try some fondue out of the fountain at the bar .,My wife enjoyed some fondue by the fountain,18-24
many of the sculptures we ran into were made out of ivory .,The stone pillar was a marvel to behold.,18-24
from it we got a lot more beach .,hope of treasure and bounty in this tiny island village,18-24
it was a great time .,Everyone is celebrating and eating,55-74
the famous center was known for its landscaping .,"Beverly was really enjoying her tour of the castle grounds, particularly the patch of appealing red flowers.",35-44
the ocean has been dissipating off the coast for years now .,The ocean has many pretty sights.,25-34
my friend spoke to african missionaries about their work .,The lady was enjoying being a missionary.,45-54
our sheep cuddled up together to keep each other warm .,My sheep are just chillin.,35-44
i especially enjoy the fireworks that have sparkles and make loud noises .,THIS FOR A FIRE WORK VERY COLOURFUL,25-34
after racing it is time for a good lunch ! it is well earned .,At the end of the race everyone gets free food and beer. Score!,25-34
one of the bikers is very tired and takes a break .,Riding a bike that long will make anyone tired and ready for a break!,25-34
it is our right to protest,"In general, the right to protest is extraordinarily important to our society.",18-24
the cake was very good .,Her friend took a commemorative photo of her with her 3 children.,55-74
the people from vegas thought they were the best .,IT IS A FUNCTION,18-24
we all went to the convention center for the event tonight .,We had to walk around awhile to find out where we were supposed to be.,25-34
the animals were a bit small but so were they .,whilst a sheep in the yard stands still near the fence he is tethered to watching,55-74
i went to the gym before work .,IT IS A BOARD,25-34
everyone enjoyed themselves .,"The movie is long and drawn out, so many adults leave, but a few remain.",35-44
i do like the blue shutters on this one though . i could live here .,IT IS A BUILDING,25-34
i spotted the ferris wheel on the other side of the park | and i knew i had to ride it .,"Better, now get a closer picture of it. All I see are lights.",25-34
before going any further we decided to stop by the local bar and have some margaritas .,She sampled the local fares and drank a margarita by herself,18-24
the manager showed me what to do .,I talked to a manager while I made my purchase.,35-44
his parents showed up and congratulated him .,The two sets of parents had their suspicions all along and congratulated the guys heartily.,45-54
there was even a chance to meet [male] !,Community members dressed in costumes to delight the area children.,25-34
to be with the groom .,The groom was excited to have his bride with him.,18-24
their families were there to support them .,Family members as well were there for the occasion.,18-24
since [female] 's favorite flower was the rose | she chose to have white roses in her wedding .,"At the wedding, there were white roses.",18-24
even explore art or various cultures .,Near the park was an art museum that I visited.,25-34
he was a little shy when he saw us .,IT IS PET ANIMAL,25-34
wait | is that location holding the baby ?,"The man, waiting at a location, holds the baby.",18-24
unfortunately | this year 's party came to an early end with a sudden rainstorm . no worries | we will be back next year !,We were worried since all of a sudden we had a rainstorm.,18-24
participate in karaoke and rock the house .,Maybe a little too much fun.,25-34
getting the church ready for our big day .,The cleaners have to work very hard,25-34
standing ovation after the big performance .,The audiance loved them and they have a standing ovation,55-74
but its beautiful,IT IS A SNOW,25-34
they gather around the charts t0 .,The men gather at the table and plan something.,25-34
the city was calm,They were headed out on their date.,18-24
there were so many booths that i couldnt keep up . this one had my friend [male] hooked because he recognized one of the girls from his college and talked to her for hours | while we walked around some more .,They saw their lovely granddaughters there.,35-44
and | then it was time to prepare . they started with a beautiful tv display .,"The words keep replicating and growing, taking over the screen!",25-34
what a great view we had of the ocean . right before the sun shined .,"From the deck, she had a view of the sun that shined on the hills.",18-24
the sunrise cast a beautiful shadow on all of it through the big tree out front .,Sunsets on the trees feature gorgeous while blankets of snow.,18-24
my neighbors house caught on fire during the evening .,The firemen gazed upon the destruction of the fire.,18-24
the time it must take to make this plate is astounding .,She also loved historical items.,18-24
the giant mushrooms surprise all of the family members | even the adults !,Imagine our surprise when we didn't see anything there besides some giant mushrooms.,35-44
spirals of light dancing across the blackness .,"She tries waving her camera around as she takes the next picture to create the same result, but the streaks are green and look totally different than the last photo.",18-24
we marched down the street to rally up more people .,There were a rally of people in the street.,18-24
there was a parade he wanted me to go to .,IT IS A PARTY,25-34
this picture of me in my wedding dress leaves me breathless .,The bride posed for a wedding picture alone while her father waited by a pile of leaves.,25-34
one of the rockets exploded before it ever left the ground .,Then they shot the rockets into the sky again!,18-24
a concert was held in the town park | with the townspeople jamming along to songs of american independence .,IT IS A MUSIC PAARTAY,18-24
the artwork was ecclectic and diverse .,The pictures from this diverse artwork were ecclectic.,18-24
can you believe it was made in 1672 ?,We got closer and saw it was still occupied.,45-54
later that day | i told my husband that i wanted to become an artist | so i took this amazing photo of two tiny windows .,The windows they were told are tiny.,35-44
on the streets | we ran into this neat diner .,The streets in our town are very net.,25-34
i invited all my friends .,I invited as many friends as possible so we could make it fun.,18-24
the next day we found this awesome place i wonder whats next,What we founds was fun that day.,25-34
i worked very hard .,It was a hard day.,18-24
i had a great time and i ate a lot of food .,Everyone enjoyed the food and had a good night.,35-44
[male] likes to draw art in the snow .,The gang drew a lot of graffiti.,18-24
this is my presentation on paper .,We presented a paper.,25-34
[female] and [male] were headed out to see a football game .,His mom was so proud of him.,25-34
dessert was a simple cheesecake garnished with a coulis .,The dog was ready to go.,25-34
there was a bird at the beach .,Once upon a time there was a bird on the beach.,45-54
took a trip to a place we called old tree when i was a kid .,IT IS A GARDEN,18-24
today i rode on a horse for the first time .,An early dawn found a traveler in a baren land.,35-44
what a fabulous day with my wonderful man .,"We had a wonderful, fabulous day together.",55-74
i 'm bound and determined to do this !,My first marathon is today.,35-44
we scanned a bunch of our older pictures to keep them safe .,The results were not reliable.,18-24
we spent a few hours there chatting .,His mom was so proud of him.,25-34
the flower girl was so cute,The girl who threw the flower was so cute.,25-34
and the twin great show,The dog was ready to go.,25-34
the teams from the marketing department competed against those from accounting .,It requires skill and coordination.,35-44
this caused a huge commotion within congress . they had to make a decision .,"To bring the strike to an end, congress got involved.",35-44
we went to the park and saw birds to play with .,The small children had fun chasing and feeding the birds at the park.,45-54
but a lot of the stories were behind the scenes . like [female] ' sister lexus flying in from location .,He had a great time on the hike.,25-34
in the end | it was a productive meeting .,Hes now getting his presentation ready.,25-34
the crowd of people wanting to get into the country is growing .,The dog was ready to go.,25-34
they were not able to get to to the beach using this way .,IT IS A BLACK BOARD,25-34
the crab cakes were absolutely delicious .,The seafood was wonderful,35-44
[male] is so excited that he is taking selfies .,damn look at all this cool stuff,25-34
you get to see tons of adorable animals like this baby cow attempting to find it 's mother .,We saw tons of animals and even a mother cow.,25-34
glasses of wine were enjoyed,Glasses of wine enjoyed with friends makes a great outing.,55-74
the cyclists had a very tough course which included some very steep inclines .,They sped through the city as fast as they could.,25-34
there was 100 children in attendance for space day festivities .,The students gathered for the presentation at the space museum.,18-24
most of the statues were abstract .,The statues were abstract.,18-24
i finally went to shake hands and receive my diploma .,THE SIR WISH THE BOY,25-34
food was cooked and placed on the table .,The table was full of well-cooked food,18-24
our love will stand .,we are shared in stand love,25-34
the removal of this music box will be necessary to rebuild .,He had a great time on the hike.,25-34
we went to a civil war memorial .,The texas monument at its library of it's hero is a nice one.,35-44
there were n't very many people out .,In the center of town is a small building that is painted white.,35-44
and a attractive man holding a beer to attract the people to his home,Many of the new people in the neighborhood were at home holding on to beer.,25-34
we will be going into the community to show how we respond .,the instructer was giving us direction on what we were doing for the community  rebuilding effort,25-34
it 's early in the morning tonight 's dinner must get started and prepared .,I got dinner on the go for tonight.,35-44
while not as nice as the fish | this sandcastle showed a diver | poseidon | and a neat fish .,This nice sandcastle was made to look like poseidon,25-34
we all felt so close | like i was holding meaning in the palm of my hand .,A picture of dad's hand as he gets ready for the symbolic joining of palms ceremony.,35-44
the gallery had many lovely paintings .,"In the gallery, the paintings were lovely.",18-24
the artwork was reverent .,The relief on the wall was incredible.,45-54
there is nothing like watching a game a fenway park .,These tickets were hard to get.,35-44
the fireworks were huge and viewed from the outside,The night was awesome when the colorful fireworks hit the sky.,35-44
the orange pumpkin rolls away and rests by a pole .,I set this pumpkin to rest hopefully it doesn't roll off.,18-24
they learned about being nice to others,THEY PEOPLES ARE WATCHING,25-34
it was a long drive .,It was a pleasant drive out there.,25-34
my spare bedroom is still in boxes | but the bed is set up .,As the woman keeps unpacking she notice a set of spare boxes she missed.,25-34
outside of a book shop,there was a book shop we checked out.,25-34
we danced all night long .,The girl danced the night away with her best friends.,25-34
but there was some serious competition too,Fred really enjoys the competition,25-34
we stumbled together over a field strewn with boulders .,We took in the sites of the ocean.,25-34
i had to check that my name was on the diploma because i was so happy . i worked so hard to get this .,I just graduated an am already in a severe depression.,35-44
him feeding me the cake before we dance .,They shared their love over a piece of delicious cake as the husband fed his wife.,25-34
great photo ops too . hills may be tough for riding but can 's argue with the view .,The riding was tough but it was worth it to see the view.,25-34
and the dj want hard on the turn tables,The tables turned hard all night with the dj.,25-34
finally it was time for the reception | where everyone had a wonderful time .,Let the party begin!,55-74
he found himself near the canal | relaxed instead of tense from the race .,IT IS A BUILDING,25-34
too many red lights in this town .,The town looked nice in the evening light.,18-24
they were very happy with the way it tuned out .,"The theme is being positive in the workplace, but something strange has started to happen.",25-34
i went into the city by boat this morning to do some exploring .,Today we are going to do some walking and exploring of the city.,55-74
that gave them energy to dance the night away .,And the dancing was definitely the highlight of our evening.,25-34
we had to make some adjustments | but in the end we got it all together .,The member made adjustments.,18-24
the event had a huge turnout of people | it was a great success .,This park looks to have a successful turnout of people to enjoy the day.,55-74
we were with some other tourists who had the same idea .,Tourists flocked the area to get the perfect picture.,25-34
he always gets hungry after waking up .,The ice-cream sellers are hard at work.,18-24
enjoying the sun while learning important things .,"The sun was shinning, people were learning, and everyone was enjoying themselves.",18-24
they put together a pool for the animals .,"In preparation for the school visit, the aquarium keepers placed some animals in a kiddie pool.",25-34
here i am | with the squad .,They had been working on the movie together for awhile and had become a squad of good friends.,18-24
i especially liked the roofs .,Many people still worshiped there.,18-24
then smash the angel food cake down with his hand just so .,The following step is to smash the food using your hand,35-44
the finish line was close | but they were n't all that concerned with winning .,"And there it is, the finish line!",55-74
it is made of stone and very well built .,City hall is always a cool place to stop by.,18-24
the group was quite big and had a great time .,More smiles from all my friends.,18-24
the building was full of people .,Looks like some more people are piling in to see the view.,25-34
it was so nice to relax .,It was nice to relax.,18-24
we laughed and hung out for a bit .,Next my son and I take a picture together in a forest,35-44
i took the time to read about the history of the place .,He spent a little time to read her plaque which provided a small history lesson.,35-44
the organization memorial was awesome .,We stopped at one more historical site before heading back to eat dinner.,45-54
we sat down for a quick luch .,My friend and I sat down and had a quick lunch.,55-74
my parents have been my biggest supporters .,"She was grateful to her parents, her biggest supporters.",25-34
this place is amazing,It was tough to wait for dinner with all the great-smelling food.,35-44
a group of friends got together for a bbq .,My friends and I went to a bbq.,25-34
the adventures of little android show that he is everywhere .,"The android mascot, ""Bottie"" went on many adventures this year.",35-44
i visited my aunts house over the weekend and checked out her garden .,He had a great time on the hike.,25-34
really feeling the christmas spirit | my two sons made a great gingerbread house .,My sons filled the house with Christmas spirit.,35-44
the hydrant and hose box stood in stark contrast to each other .,As we arrived there stood a stark fire hose box and a fire hydrant.,18-24
after the hike | we settled down for a lunch in the shade .,"As the time for noon-day meal approached, the number of the group had dwindled sharply, wolves howled in the distance",25-34
he lit the torch on fire .,The torch was lit and the fire was burning.,35-44
the tractor gets stuck in the snow which means no work for today !,The tractor sure does look lovely with that snow.,18-24
i even got one of the players to sign my poster !,The basketball players had to sign their name on their team poster.,45-54
grandma loves making this for the family .,Baking with Grandma is a great bonding experience.,45-54
they walked past the ruins .,There were also ancient structures.,35-44
the lights needed gloves .,"She had a small pension, so she only kept the light and heat running in the kitchen.",18-24
the mountains along the coast were beatuiful .,The mountains there were beautiful.,25-34
the deeper in the bush we walked | the later it got,"Ronder said that right over this hill we will see some flat land , she kn ows she was here 3 months ago.",55-74
he saw the lake and it reminded him of the trips he used to take there with his grandpa .,His mom was so proud of him.,25-34
he just scored .,It took several tries before I finally scored.,25-34
manny ramirez got quite a cheer .,Fans screamed with utmost joy as Ramirez and Manny presented themselves to the world.,18-24
the kitchen is spacious and has alot of counter space too,the entertainment had arrived,18-24
three cars race to the finish line,IT IS A LAPTAP,25-34
even the table decorations were pretty special .,There were some pretty special decorations on the tables.,18-24
this is the window where they tease you with the yummy cupcakes .,"Sprinkles Bakery knew how to tempt passersby, too.",25-34
then we replaced the rotting wood beams with new sturdy ones .,We will check if the wood has rotted.,45-54
we went to the airport and took pictures of various planes .,Just being able to fly with the birds in the air.,55-74
i went on a trip to the countryside . i found this sign quite funny .,"On our trip to the ocean, there was a sign that said something funny.",18-24
